,mean_distance,std,cohens_d,bits,n,vocab_size
roberta-base,0.040841454611914005,0.061673595946617144,0.6622194471563677,0.6378318836506548,34.0,50265.0
google/electra-base-discriminator,0.09736654851647325,0.1497311597447908,0.6502757921759881,1.450524181525657,34.0,30522.0
albert-base-v2,0.06434784707098883,0.1277787583883208,0.5035879819354256,0.95702460873219,35.0,30000.0
distilbert-base-uncased,0.08261870209231136,0.10252310860116666,0.8058544382780372,1.2308172268311068,34.0,30522.0
